,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salary by Country + Job Level,,,,,,Salary vs Experience,,,Org Size + Job Level vs Salary,,,,,Age vs avg of jobSat ,,,Job Satisfaction by Remote Work,,,Industry vs Compensation,,,max salary with Industry,,,TOP 10 countiries with highest average salaries,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Industry,MAX of ConvertedCompYearly,,,,,,,,,,
Country,AVERAGE of ConvertedCompYearly,,JobSat,AVERAGE of ConvertedCompYearly,,YearsCode,AVERAGE of ConvertedCompYearly,,AVERAGE of ConvertedCompYearly,Job_Level,,,,Age,AVERAGE of JobSat,,RemoteWork,AVERAGE of JobSat,,Industry,AVERAGE of ConvertedCompYearly,,Software Development,33552715,,Country,AVERAGE of ConvertedCompYearly,,Industry,AVERAGE of ConvertedCompYearly,AVERAGE of JobSat,,Job_Level,AVERAGE of ConvertedCompYearly
"Iran, Islamic Republic of...",320827.7419,,0,76998.84211,,1,12192.2,,OrgSize_Category,Junior,Mid,Senior,,18-24,7.06935123,,Flexible,7.392342342,,Computer System Services,145221.1328,,Computer System Services,15430267,,"Iran, Islamic Republic of...",320827.7419,,Banking Services,99731.70199,7.128476821,,Junior,20671.57547
Angola,292653.5,,1,98627.00935,,2,22069.27473,,Large,22195.77778,98943.94717,174559.8166,,25-34 ,7.087925324,,Remote,7.30061054,,Fintech,120967.3781,,Government,9000000,,Angola,292653.5,,Computer System Services,145221.1328,7.451977401,,Mid,74205.33739
North Korea,233924.5,,2,91868.17708,,3,24679.3348,,Medium,33549.36364,82919.9161,130757.4764,,35-44,7.217609162,,Hybrid-Flexible,7.177179081,,Government,112243.5859,,Fintech,6371285,,North Korea,233924.5,,Energy,95310.712,7.346666667,,Senior,130103.3912
Viet Nam,181527.8,,3,91828.24868,,4,57556.74811,,Small,14622.23333,56455.59057,105685.7629,,45-54 ,7.350260417,,Hybrid-InPerson,7.042780749,,Telecomm  Services,112079.2339,,Telecomm  Services,6000000,,Viet Nam,181527.8,,Fintech,120967.3781,7.276830491,,Grand Total,100423.8861
United States of America,178309.2886,,4,101181.0925,,5,40586.21354,,Unknown,1740.5,61394.2541,123239.1522,,55-64,7.422604423,,In-person,6.903954802,,Healthcare,109022.4447,,Supply Chain,4706124,,Switzerland,153819.4178,,Government,112243.5859,7.068728522,,,
Switzerland,153819.4178,,5,80534.58933,,6,46329.18634,,,,,,,65+,8.146153846,,,,,Supply Chain,106260.4158,,Healthcare,2346000,,Andorra,145018.3333,,Healthcare,109022.4447,7.037275064,,,
Andorra,145018.3333,,6,89385.4765,,7,53112.56019,",",,,,,,,,,,,,Media Services,106166.1787,,Other,1497556,,Nomadic,139347.25,,Higher Education,79838.94813,7.319884726,,,
Nomadic,139347.25,,7,100411.9486,,8,57896.47816,,,,,,,,,,,,,Insurance,102905.2261,,Banking Services,1225273,,Israel,137019.7929,,Insurance,102905.2261,6.881226054,,,
Israel,137019.7929,,8,101362.9398,,9,70807.51014,,,,,,,,,,,,,Other,100865.5857,,Media Services,1000000,,Ireland,123293.2523,,Manufacturing,83781.23447,7.088509317,,,
