Country,ConvertedCompYearly,YearsCode,Job_Level,JobSat,RemoteWork,Industry,OrgSize,OrgSize_Category,Employment,DevType,EdLevel,Age
Ukraine,61256,14,Mid,10,Remote,Fintech,20 - 99 ,Small,Employed,Developer,Masters,25-34 
Netherlands,104413,10,Mid,9,Hybrid-Flexible,Retail Services,500 - 999,Medium,Employed,Developer,Associate,25-34 
Ukraine,36197,5,Mid,6,Remote,Retail Services,10000+,Large,Employed,Developer,Bachelors,35-44
Ukraine,72000,30,Senior,6,Remote,Software Development,<20,Small,Employed,Architect,Professional,35-44
Ukraine,70000,15,Mid,8,Remote,Banking Services,5000 - 9999,Large,Employed,Data/AI,Bachelors,25-34 
Ukraine,5400,10,Mid,4,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Masters,25-34 
Ukraine,65691,9,Mid,10,Remote,Fintech,100 - 499,Medium,Employed,Developer,Masters,25-34 
Ukraine,14400,5,Mid,8,Remote,Fintech,100 - 499,Medium,Employed,Developer,Bachelors,18-24
United States of America,87500,11,Mid,9,Remote,Fintech,100 - 499,Medium,Employed,Developer,Some college,25-34 
Sweden,209643,36,Senior,9,Hybrid-InPerson,Banking Services,1000 - 4999,Medium,Employed,Developer,Bachelors,45-54 
Dominican Republic,78000,13,Mid,10,Remote,Media Services,<20,Small,Self-employed,Developer,Professional,35-44
United States of America,205000,15,Mid,8,Remote,Software Development,500 - 999,Medium,Employed,Developer,Masters,35-44
United States of America,250000,23,Senior,8,Remote,Fintech,100 - 499,Medium,Employed,Developer,Bachelors,35-44
United States of America,175000,26,Senior,8,Hybrid-InPerson,Software Development,5000 - 9999,Large,Employed,Data/AI,Bachelors,45-54 
Germany,95132,10,Mid,6,Flexible,Higher Education,1000 - 4999,Medium,Employed,Developer,Bachelors,25-34 
United States of America,109000,25,Senior,10,In-person,Government,10000+,Large,Employed,Developer,Masters,35-44
United Kingdom of Great Britain and Northern Ireland,91215,25,Senior,6,Remote,Software Development,<20,Small,Employed,Developer,Masters,45-54 
United States of America,150000,8,Mid,2,Hybrid-InPerson,Media Services,100 - 499,Medium,Employed,Developer,Bachelors,45-54 
United States of America,99999,38,Senior,8,Hybrid-Flexible,Fintech,500 - 999,Medium,Employed,Developer,Professional,45-54 
